"dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","subcategories/0","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","rankingPosition","localName","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","openNowText","rankingString","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","priceRange","id","photoCount","address","name","menuWebUrl","webUrl","description","rawRanking","latitude","category","website","type","image","rankingDenominator","localAddress","phone","isLongClosed","isClosed","establishmentTypes/0","establishmentTypes/1","numberOfReviews","email","longitude","locationString","priceLevel","rating"
"Pork",,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Ndemi Road Off Ngong Road",,"Sit down",,,,,,,,,,,,,,,,,,,,,"Asian","Korean","Vegetarian Friendly",,,,,,"1","0","1","8","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"200","","Dinner","Lunch",,,,,"Seating","Takeout","Reservations","Table Service",,,,,,,,,,,,,,,,,,,,"#200 of 1,048 places to eat in Nairobi","Dinner","Lunch",,,,,,"5988078","21","Ndemi Road Off Ngong Road, Nairobi Kenya","Dae Jang Geum",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d5988078-Reviews-Dae_Jang_Geum-Nairobi.html",,"3.229800224304199","-1.30822","restaurant",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0b/1a/b7/42/october-2015-a-serving.jpg","833",,"+254 707 369355","false","false","Restaurants",,"24",,"36.73304","Nairobi","$$ - $$$","4.5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Dagoretti Road","The Hub Karen mall",,,,,,,,,,,,,,,,,,,,,,"Indian","Asian","Vegan Options","Vegetarian Friendly",,,,,"2","3","3","8","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"349","","Dinner","Lunch",,,,,"Reservations","Seating","Table Service","Takeout","Outdoor Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,"#349 of 1,048 places to eat in Nairobi","Dinner","Lunch",,,,,,"13427905","4","Dagoretti Road The Hub Karen mall, Nairobi Kenya","Mayura","http://www.themayura.com/menu.php","https://www.tripadvisor.com/Restaurant_Review-g294207-d13427905-Reviews-Mayura-Nairobi.html",,"3.109950542449951","-1.298233","restaurant","http://www.themayura.com/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/13/77/b3/8f/entrance-sign.jpg","833",,"+254 737 224422","false","false","Restaurants",,"23","info@themayura.com","36.682102","Nairobi","$$ - $$$","3.5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Parklands Road","Sarit Centre",,,"Africa/Nairobi","1320","600",,,"1320","600","1320","600","1320","600","1320","600","1320","600","1320","600",,,,,,,,,,,"0","0","0","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"510","","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,,,,,"Closed Now","#510 of 1,048 places to eat in Nairobi","Lunch","Dinner",,,,,,"13662110","0","Parklands Road Sarit Centre, Nairobi Kenya","Planet Yogurt Sarit Centre",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d13662110-Reviews-Planet_Yogurt_Sarit_Centre-Nairobi.html",,"3.054206609725952","-1.29827","restaurant","http://www.planetyogurt.co.ke","RESTAURANT",,"832",,"+254 702 278254","false","false","Restaurants",,"3","sarit@planetyogurt.co.ke","36.76275","Nairobi",,"4.5"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Langata Road","Galleria Mall","Sit down",,"Africa/Nairobi","1020","540",,,"1020","540","1020","540","1020","540","1020","540","1020","540","1020","540",,,"African","Barbecue",,,,,,,"1","1","0","2","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","8","","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Reservations",,,,,,,,,,,,,,,,,,,,,,"Closed Now","#8 of 29 places to eat in Karen","Breakfast","Lunch","Dinner","Brunch","Drinks",,"KES 29,647 - KES 296,472","19866300","20","Langata Road Galleria Mall, Karen, Nairobi Kenya","Mbuzi Munch Galleria",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d19866300-Reviews-Mbuzi_Munch_Galleria-Karen_Nairobi.html","Mbuzi Munch is a goat ""Nyama Choma"" restaurant. Nyama Choma is Swahili for grilled meat and the National Dish of Kenya. Our goat is organically raised and grass fed goat, well hung and bespoke marinated in our secret sauce before being slowly barbequed on our smoke and dust free lava grill. A range of non-goat burgers, wraps, quesadillas etc. also available. Don't leave Kenya without having tried us!","3.1198832988739014","-1.342628","restaurant","https://www.facebook.com/mbuzimunch/?ref=bookmarks","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/9b/28/a0/mbuzi-munch-is-a-goat.jpg","22",,"+254 794 587187","false","false","Restaurants",,"11","galleria@mbuzimunch.com","36.767204","Karen, Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00100",,"Southern Bypass, Just Before Ole Sereni Hotel.",,,,,,,,,,,,,,,,,,,,,,,"International","Barbecue","Asian","Grill","Healthy",,,,"0","0","1","5","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"346","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#346 of 1,048 places to eat in Nairobi",,,,,,,,"21226367","13","Southern Bypass, Just Before Ole Sereni Hotel., Nairobi 00100 Kenya","Emara Ole Sereni Pool Bar",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d21226367-Reviews-Emara_Ole_Sereni_Pool_Bar-Nairobi.html",,"3.111691474914551","-1.309135","restaurant",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/1d/12/8e/6f/view-on-the-nairobi-national.jpg","833",,,"false","false","Restaurants",,"7",,"36.729378","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00509",,"Ngong Rd","Karen Landmark Outlet, Karen Shopping Centre, Opposite Karen Provision Store","Café",,,,,,,,,,,,,,,,,,,,,"African","Dutch",,,,,,,"1","0","0","5","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"321","","Brunch",,,,,,"Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,"#321 of 1,048 places to eat in Nairobi","Brunch",,,,,,"KES 148 - KES 2,224","12475098","0","Ngong Rd Karen Landmark Outlet, Karen Shopping Centre, Opposite Karen Provision Store, Nairobi 00509 Kenya","BBROOD",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d12475098-Reviews-BBROOD-Nairobi.html","BBROOD is a high-quality bakery chain, originally from the Netherlands, with a strong focus on high-quality, artisan sourdough bread. All our sourdough breads are handcrafted, traditionally prepared without use of additional sugars, preservatives or additives; and finally baked in a stone floor oven to produce the crusty, tasty authentic product we are proud of;Bread in its purest form, 100% natur","3.1220362186431885","-1.322956","restaurant","http://www.bbrood.co.ke/pagina32/Karen+Landmark+Outlet.html","RESTAURANT",,"833",,"+254 799 871821","false","false","Restaurants",,"13","office-ke@bbrood.com","36.70683","Nairobi","$","4.5"
"Sandwiches","Burger","Ribs","Salad","Beef","Pork",,,,,,,,,,,,,,"Nairobi","Kenya","00200",,"Dagoretti Road","The Hub Mall","Sit down",,"Africa/Nairobi","1200","540",,,"1200","540","1200","540","1200","540","1200","540","1200","540","1200","540",,,"Steakhouse","Cafe","Barbecue","Grill",,,,,"5","6","11","21","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"308","","Lunch","Breakfast","Drinks",,,,"Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Table Service",,,,,,,,,"Closed Now","#308 of 1,048 places to eat in Nairobi","Lunch","Breakfast","Drinks",,,,"KES 1,482 - KES 5,633","10215035","32","Dagoretti Road The Hub Mall, Nairobi 00200 Kenya","Roast by Carnivore",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d10215035-Reviews-Roast_by_Carnivore-Nairobi.html","The Roast by Carnivore is a casual eatery that lays great emphasis on offering deliciously-inspiring meat platters, fresh crunchy salads, filling ‘Nyama Choma’ sandwiches, mouthwatering selections of both pork & beef spare ribs, refreshing cocktails, a fully stocked bar Roast located in the Hub shopping mall, has a delicious ‘Signature’ Menu and also offers office & home deliveries.","3.130448579788208","-1.320172","restaurant","http://www.facebook.com/RoastbyCarnivore/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0b/43/2d/96/photo0jpg.jpg","833",,"+254 701 715373","false","false","Restaurants",,"57","roast@tamarind.co.ke","36.703735","Nairobi","$$ - $$$","3.5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Rhino Park North Road","Adventure Farm Karen","Sit down",,"Africa/Nairobi","1140","540",,,"1080","540","1080","540","1080","540","1080","540","1140","540","1140","540",,,"Barbecue","Pizza","Grill","Contemporary","Diner",,,,"0","0","0","0","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"545","","Breakfast","Lunch","Brunch","Drinks",,,"Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Free Wifi","Accepts Credit Cards","Table Service","Playgrounds","Family style","Non-smoking restaurants","Gift Cards Available",,,,,"Closed Now","#545 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Brunch","Drinks",,,"KES 148,236 - KES 370,590","24856584","16","Rhino Park North Road Adventure Farm Karen, Nairobi Kenya","Adventure Cove","https://www.adventurefarm.co.ke/restaurant","https://www.tripadvisor.com/Restaurant_Review-g294207-d24856584-Reviews-Adventure_Cove-Nairobi.html","Farm to Table restaurant, serving amazingly delicious food made from organic ingredients grown or foraged from our Farm. We are committed not only to providing fresh ingredients and provide an authentic experience, serving you with wooden platters sourced from trees we have pruned on the farm. Prior to dining, you can learn what goes into cultivating the mouthwatering ingredients that make Adventure farm’s food. An experience all of its own with a tour through the farm grounds before or after your meals (tours should be booked in advance). Come enjoy our delicious meal, prepared by our professional, delightful crew in the most peaceful, relaxing atmosphere in Karen surrounded by nature.","3.0448358058929443","-1.298813","restaurant","https://www.facebook.com/adventurefarmkaren/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/29/5f/00/9a/memories-are-made-of.jpg","833",,"+254 710 288004","false","false","Restaurants",,"1","info@adventurefarm.co.ke","36.687492","Nairobi","$$ - $$$","5"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Dagoretti Road",,"Sit down",,"Africa/Nairobi","1439","0",,,"1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,,"African","Bar","International","Barbecue","Grill","Pub",,,"0","0","1","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","12","","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,,,,,,,,,,,,,,,,,,,,,,"Open Now","#12 of 29 places to eat in Karen","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","KES 74,118 - KES 266,825","23154760","24","Dagoretti Road, Karen, Nairobi Kenya","Shamwaris Karen","https://www.facebook.com/Shamwaris-Restaurant-109410260852198/menu/?ref=page_internal","https://www.tripadvisor.com/Restaurant_Review-g12559418-d23154760-Reviews-Shamwaris_Karen-Karen_Nairobi.html","Shamwaris Restaurant is a Continental restaurant. We offer unique dining experiences infusing culture and culinary excellence in afro-contemporary setting. We are based in Karen ,Nairobi","3.073869228363037","-1.300774","restaurant","http://www.facebook.com/Shamwaris-Restaurant-109410260852198","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/a6/44/3c/outdoor-sitting.jpg","22",,"+254 780 602487","false","false","Restaurants",,"4",,"36.687695","Karen, Nairobi","$","4.5"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Magadi Road, Beltop Plaza","Total Petrol Station","Sit down",,"Africa/Nairobi","1380","480",,,"1380","480","1380","480","1380","480","1380","480","1380","480","1380","480",,,"Dutch","Pizza","International","European","Deli","Street Food",,,"0","0","0","1","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","9","","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Delivery","Takeout","Outdoor Seating","Seating","Parking Available","Free off-street parking","Television","Serves Alcohol","Full Bar","Wine and Beer","Accepts Mastercard","Accepts Visa","Accepts Credit Cards","Family style","Sports bars","Gift Cards Available",,,,,,,"Closes in 15 min","#9 of 29 places to eat in Karen","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","KES 37,059 - KES 296,472","23897002","9","Magadi Road, Beltop Plaza Total Petrol Station, Karen, Nairobi Kenya","Lekker Bar Restaurant Shop","https://cdn.shopify.com/s/files/1/0314/9784/6829/files/23-04-10_Kuku_Menu.pdf?v=1684416466","https://www.tripadvisor.com/Restaurant_Review-g12559418-d23897002-Reviews-Lekker_Bar_Restaurant_Shop-Karen_Nairobi.html","""Lekker"" means something good in the Dutch language. We are a small bistro and deli shop conveniently located on the road to Sheldrick's Elephant orphanage and Giraffe centre; right next to Nairobi national park. So when you are hungry after seeing the elelephants, giraffes and all the other wildlife in the national park; come and try us out! We also provide breakfast / lunch and snack boxes that you can take along and enjoy while watching the game in the park. We primarily serve international dishes, mixed with some specialty Dutch cuisine.","3.1189827919006348","-1.356896","restaurant","http://www.lekker.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-w/26/4a/13/e6/welcome-to-lekker-bar.jpg","22",,"+254 799 859958","false","false","Restaurants",,"4","info@lekker.co.ke","36.761776","Karen, Nairobi","$","5"
,,,,,,,,,,,,,,,,,,,"Kiserian","Kenya",,,"01 29 58S, 36 37'46E, Rift Valley","Kisamese","Sit down",,"Africa/Nairobi","1440","540",,,"1050","600","1050","600","1050","600","1050","600","1200","600","1440","540",,,"African","Barbecue",,,,,,,"5","3","8","24","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3569276","Kiserian","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","1","","Lunch","Dinner",,,,,"Outdoor Seating","Seating","Reservations","Serves Alcohol",,,,,,,,,,,,,,,,,,,"Closed Now","#1 of 2 places to eat in Kiserian","Lunch","Dinner",,,,,"KES 148","4153897","58","01 29 58S, 36 37'46E, Rift Valley Kisamese, Kiserian Kenya","Olepolos Country Club",,"https://www.tripadvisor.com/Restaurant_Review-g3569276-d4153897-Reviews-Olepolos_Country_Club-Kiserian_Rift_Valley_Province.html",,"3.151808500289917","-1.495223","restaurant","http://www.facebook.com/pages/Olepolos-Country-Club/245511375494759?fref=ts","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/05/67/24/b2/olepolos-country-club.jpg","2",,"+254 714 032122","false","false","Restaurants",,"58","olepolos.nyama@gmail.com","36.62505","Kiserian, Rift Valley Province","$$ - $$$","4"
"Burger",,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00100",,"Langata Rd","Galleria Shopping Mall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2","1","8","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"360","","Lunch","Dinner",,,,,"Seating","Takeout","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,"#360 of 1,048 places to eat in Nairobi","Lunch","Dinner",,,,,,"12661609","12","Langata Rd Galleria Shopping Mall, Nairobi 00100 Kenya","Urban Burger",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d12661609-Reviews-Urban_Burger-Nairobi.html",,"3.106532096862793","-1.343114","restaurant","http://urbanburgers.co.ke/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0f/f7/9f/72/huge-yummy-burgers.jpg","833",,"+254 702 052610","false","false","Restaurants",,"25",,"36.765057","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00517",,"Inside Ngong Race Course","After Winning Post",,,"Africa/Nairobi","1439","0",,,"1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,,"African","Asian","Eastern European",,,,,,"0","0","0","0","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"548","","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Delivery","Takeout","Reservations","Private Dining","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Sports bars",,,,,,,"Open Now","#548 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,"25358674","2","Inside Ngong Race Course After Winning Post, Nairobi 00517 Kenya","Sober Monkey",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d25358674-Reviews-Sober_Monkey-Nairobi.html","RESTAURANT","3.0446553230285645","-1.316111","restaurant",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/28/66/85/8a/we-are-a-restaurant-serving.jpg","832",,"+254 788 800000","false","false","Restaurants",,"1","ke.sobermonkey@gmail.com","36.747425","Nairobi",,"5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Karen Road",,,,,,,,,,,,,,,,,,,,,,,"European","British","Healthy",,,,,,"0","0","0","1","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"339","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#339 of 1,048 places to eat in Nairobi",,,,,,,,"18979156","8","Karen Road, Nairobi Kenya","Planet Picnic",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d18979156-Reviews-Planet_Picnic-Nairobi.html",,"3.113528251647949","-1.33604","restaurant",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/30/c2/70/phoenix-burger.jpg","833",,"+254 790 503311","false","false","Restaurants",,"5",,"36.7158","Nairobi","$$ - $$$","5"
,,,,,,,,,,,,,,,,,,,"Ongata Rongai","Kenya",,,"Magadi Road",,,,,,,,,,,,,,,,,,,,,,,"African",,,,,,,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15320355","Ongata Rongai","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21157888","0","Magadi Road, Ongata Rongai Kenya","Food Prompt",,"https://www.tripadvisor.com/Restaurant_Review-g15320355-d21157888-Reviews-Food_Prompt-Ongata_Rongai_Rift_Valley_Province.html",,,"-1.3953","restaurant",,"RESTAURANT",,,,"+254 770 364936","false","false","Restaurants",,"0",,"36.764","Ongata Rongai, Rift Valley Province",,
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"47 Marula Lane",,"Sit down",,"Africa/Nairobi","1440","660",,,"1440","660","1440","660","1440","660","1440","660","1440","660","1440","660",,,"American","African","Bar","Barbecue","Pub","Wine Bar",,,"1","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"778","","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,,,,,"Open Now","#778 of 1,048 places to eat in Nairobi","Lunch","Dinner",,,,,"KES 741 - KES 2,965","17426358","33","47 Marula Lane, Nairobi Kenya","RE-BAR MARULA",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d17426358-Reviews-RE_BAR_MARULA-Nairobi.html","Local Bar & grill. Located in the leafy suburbs of Karen, Nairobi: Serving authentic Kenyan BBQ, Dj & occasional live music.","2.938478469848633","-1.338577","restaurant","http://rebarmarula.com","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/21/7d/32/39/chillout-tusday-it-doesn.jpg","833",,"+254 768 187094","false","false","Restaurants",,"3","info@rebarmarula.com","36.705906","Nairobi","$$ - $$$","3"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Rhino Park North Road",,"Sit down",,"Africa/Nairobi","1080","540",,,"1080","540","1080","540","1080","540","1080","540","1080","540","1080","540",,,"Pizza","Cafe","Fast Food","Barbecue","Grill",,,,"0","0","1","0","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","15","","Breakfast","Lunch","Brunch","Drinks",,,"Reservations","Outdoor Seating","Parking Available","Digital Payments","Free Wifi","Accepts Credit Cards","Highchairs Available","Playgrounds","Family style",,,,,,,,,,,,,,"Closed Now","#15 of 29 places to eat in Karen","Breakfast","Lunch","Brunch","Drinks",,,"KES 74,118 - KES 148,236","26101681","60","Rhino Park North Road, Karen, Nairobi Kenya","Adventure Farm karen",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d26101681-Reviews-Adventure_Farm_karen-Karen_Nairobi.html","A captivating organic haven that brims with life and learning. Our farm invites curious minds of all ages to embark on a journey of discovery with a heartwarming menagerie of farm animals and a shamba with various vegetables.
Adventure Farm thrives on the principles of the 3R's: recycling, reusing, and reducing waste. A sanctuary of education and engagement, we welcome schools to partake in immersive experiences. Children absorb the essence of wholesome living,learn where food originates, importance of healthy consumption & organic produce.
Our grounds become a canvas for laughter and growth as kids engage in activities; pizza making,ziplining, petting zoo,sowing seeds e.t.c 
Adventure Farm hosts events too; birthdays, graduation ceremonies, brunch, artisanal market and many more.
Our Farm-to-Fork restaurant offers a delectable culmination, allowing families to savor the farm's essence through delicious healthy meals.","3.044606924057007","-1.310485","restaurant","http://www.adventurefarm.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/29/b8/23/a8/mad-fun-at-the-zipline.jpg","22",,"+254 759 335447","false","false","Restaurants",,"2","adventurecove2020@gmail.com","36.680744","Karen, Nairobi","$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Marula Lane",,,,,,,,,,,,,,,,,,,,,,,"Mexican","European",,,,,,,"0","0","1","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"283","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#283 of 1,048 places to eat in Nairobi",,,,,,,,"17397877","12","Marula Lane, Nairobi Kenya","Kengele's",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d17397877-Reviews-Kengele_s-Nairobi.html",,"3.1436781883239746","-1.33704","restaurant","https://www.facebook.com/Kengeles-Marula-307167193333654/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/18/08/d8/d6/20190623-132104-largejpg.jpg","833",,"+254 702 029361","false","false","Restaurants",,"9",,"36.70846","Nairobi","$$ - $$$","4.5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Forest Edge",,"Sit down",,"Africa/Nairobi","1380","480",,,"1380","480","1380","480","1380","480","1380","480","1380","480","1380","480",,,"Bar","Pub",,,,,,,"1","0","1","2","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"774","","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,,,,"Closes in 15 min","#774 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner",,,,,"4702669","0","Forest Edge, Nairobi Kenya","Tipuana Garden Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d4702669-Reviews-Tipuana_Garden_Restaurant-Nairobi.html",,"2.9614078998565674","-1.3356","restaurant","http://www.tipuanagardens.com","RESTAURANT",,"833",,,"false","false","Restaurants","Bars & Pubs","4",,"36.7669","Nairobi",,"3"
