"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","website","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","subcategories/0","category","rankingDenominator","rankingPosition","name","priceRange","address","webUrl","latitude","longitude","neighborhoodLocations/0/id","neighborhoodLocations/0/name","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","phone","type","email","rating","menuWebUrl","localName","description","locationString","localAddress","rankingString","image","photoCount","openNowText","rawRanking","priceLevel","numberOfReviews","isClosed","isLongClosed","id"
"Pakistani","Middle Eastern","Halal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya","00100",,"Ole Odume Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","631","Sanjha Chulha Restaurant",,"Ole Odume Road, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d8838687-Reviews-Sanjha_Chulha_Restaurant-Nairobi.html","-1.29772","36.77442",,,"2","2","3","3","3","+254 789 819982","RESTAURANT",,"3",,"",,"Nairobi",,"#631 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/10/bd/b2/92/the-reception.jpg","2",,"3.027881145477295","$$ - $$$","13","false","false","8838687"
"Turkish","Middle Eastern","Persian","Afghan","Arabic",,,,,,,,,,,,"Africa/Nairobi",,,,,,,"900","660",,,,,"900","660",,,,,"900","660",,,,,"900","660",,,,,"900","660",,,,,,,,,,,"http://madam-tahdig.ovh",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch",,,,,,"Lunch",,,,,,"Nairobi","Kenya",,,"Kirichwa Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","564","Madam Tahdig","KES 593 - KES 1,038","Kirichwa Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13972845-Reviews-Madam_Tahdig-Nairobi.html","-1.29429","36.78179",,,"0","0","0","0","2","+254 724 536819","RESTAURANT","ladan.p6887@yahoo.com","5","http://madam-tahdig.ovh#mu-restaurant-menu","","Madam Tahdig is a small delivery food business, designed to make you discover a few main dishes of Middle Eastern countries. Each day, you will be proposed one meat based dish and one vegetarian dish with a fixed price. We are delivering food in Kilimani, Westland, Kileleshwa, Lavington, Maziwa and Kawangware. We are open from Monday to Friday for lunch time.","Nairobi",,"#564 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/12/b3/f9/b4/kabouli-polo.jpg","8","Closed Now","3.043112277984619","$","2","false","false","13972845"
"African","Grill","Healthy","Ethiopian","Arabic",,,,,,,,,,,,"Africa/Nairobi","1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"https://tribalroots.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Nairobi","Kenya","00100",,"Hh Towers, Kenyatta Avenue, Nairobi","2nd Floor","Delivery","Reservations","Seating","Digital Payments","Free Wifi","Accepts Credit Cards","Non-smoking restaurants",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","570","Tribal Roots Grill & Cafe","KES 741 - KES 7,412","Hh Towers, Kenyatta Avenue, Nairobi 2nd Floor, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d25261434-Reviews-Tribal_Roots_Grill_Cafe-Nairobi.html","-1.283447","36.82323",,,"0","0","0","0","1","+254 703 877887","RESTAURANT","tribalroots2022@gmail.com","5","http://tribalroots.co.ke/","",,"Nairobi",,"#570 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/27/f3/60/12/masala-tea.jpg","7","Open Now","3.0424699783325195","$$ - $$$","1","false","false","25261434"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Village Market, Lumuri Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","833","574","Terimisu Bakery",,"Village Market, Lumuri Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13134894-Reviews-Terimisu_Bakery-Nairobi.html","-1.22919","36.80465","20484492","Highridge","0","1","0","1","2","+254 702 993254","RESTAURANT",,"4",,"",,"Nairobi",,"#574 of 1,048 places to eat in Nairobi",,"0",,"3.0419669151306152",,"4","false","false","13134894"
"Turkish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://Www.bigknife.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Muindi Mbingu Street",,"Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","624","Big knife doner Shawarma",,"Muindi Mbingu Street, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d11622420-Reviews-Big_knife_doner_Shawarma-Nairobi.html","-1.280961","36.81859","20484493","Nairobi Central Business District","2","1","2","3","3","+254 710 733373","RESTAURANT",,"3.5",,"",,"Nairobi",,"#624 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/7f/2e/06/photo0jpg.jpg","7",,"3.028879404067993",,"11","false","false","11622420"
"French","Belgian","European","Cafe",,,,,,,,,,,,,"Africa/Nairobi","1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"1290","630",,,,,"http://www.facebook.com/dsplace.nairobi",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Nairobi","Kenya",,,"Ojijo Road","Broadwalk Mall ","Delivery","Takeout","Free Wifi","Accepts Credit Cards","Family style",,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Café","restaurant","832","630","D's Place","KES 29,647 - KES 207,530","Ojijo Road Broadwalk Mall, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d19543804-Reviews-D_s_Place-Nairobi.html","-1.270778","36.813217",,,"0","0","0","0","1","+254 727 755571","RESTAURANT","dsplace.karen@gmail.com","5","https://imenupro.com/+16yh-2-z","","D's Place is a nice place to enjoy delicious crepes, waffles and amazing milkshakes, located in Broadwalk Mall in Parklands, on Ojijo Road","Nairobi",,"#630 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/2c/5d/82/waffle-with-strawberries.jpg","17","Closes in 28 min","3.028212070465088","$","1","false","false","19543804"
,,,,,,,,,,,,,,,,"Africa/Nairobi","1080","540",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"1260","390",,,,,"https://www.facebook.com/Savanna-Restaurant-Kenya-2103987446298257/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner",,,,"Breakfast","Lunch","Dinner",,,,"Nairobi","Kenya",,,"Ralph Bunche Rd","next to General Accidents House",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","571","Savanna Restaurant",,"Ralph Bunche Rd next to General Accidents House, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d17671615-Reviews-Savanna_Restaurant-Nairobi.html","-1.29575","36.807125","20484494","Upper Hill Estate","0","0","0","0","1","+254 729 800800","RESTAURANT","info@savannarestaurant.co.ke","5",,"","The brand is a representation of a modern twist tied to nodes of tradition culinary. From the onset, the restaurant was set-up to allow its customers to experience African authenticity yet incorporating contemporary feel. This can be witnessed in the ambiance of all our restaurants and far more in our menu.","Nairobi",,"#571 of 1,048 places to eat in Nairobi",,"0","Closed Now","3.0420422554016113",,"1","false","false","17671615"
"Indian","Middle Eastern","Pakistani",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.facebook.com/Goldenspoonbbq/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Jaffery Sports Club",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","633","Golden Spoon Bbq",,"Jaffery Sports Club, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d14961384-Reviews-Golden_Spoon_Bbq-Nairobi.html","-1.276368","36.769478",,,"0","0","0","0","1","+254 713 199199","RESTAURANT",,"5",,"",,"Nairobi",,"#633 of 1,048 places to eat in Nairobi",,"0",,"3.0274860858917236",,"1","false","false","14961384"
"African","Bar","Pub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.bondsgarden.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","",,"Elgon Road","Upper Hill","Reservations","Seating","Outdoor Seating","Serves Alcohol","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","622","Bonds Garden Restaurant",,"Elgon Road Upper Hill, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d2339643-Reviews-Bonds_Garden_Restaurant-Nairobi.html","-1.30215","36.81566",,,"9","1","9","14","6","+254 733 555290","RESTAURANT",,"3",,"",,"Nairobi",,"#622 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0b/68/12/3a/photo0jpg.jpg","23",,"3.0297584533691406","$$ - $$$","39","false","false","2339643"
"Chinese","American","Indian","African",,,,,,,,,,,,,"Africa/Nairobi","1410","330",,,,,"1410","330",,,,,"1410","330",,,,,"1410","330",,,,,"1410","330",,,,,"1410","330",,,,,"1410","330",,,,,"http://www.royalnairobigc.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Late Night","Drinks",,"Breakfast","Lunch","Dinner","Late Night","Drinks",,"Nairobi","Kenya","00100",,"Off Ngong Road, Along Mucai Road.",,"Takeout","Buffet","Seating","Free off-street parking","Serves Alcohol","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","628","Royal Nairobi Golf Club","KES 593 - KES 2,965","Off Ngong Road, Along Mucai Road., Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d17751930-Reviews-Royal_Nairobi_Golf_Club-Nairobi.html","-1.300094","36.798756",,,"0","0","0","0","1","+254 718 810810","RESTAURANT","socialmedia@royalnairobigc.com","5",,"","Looking for a place to play Golf in Nairobi? Royal Nairobi Golf Club is a prestigious private club instituted in 1906 with a proud history stretching back over 110 years. It’s Kenya’s oldest club. The club is a well maintained 18 hole course and it reciprocates with all other ""Royal"" chartered clubs worldwide. The Club is situated along the recently expanded Ngong Road with good road links within the City. The Club is 7 minutes’ drive from Nairobi Central Business District, 15 Minutes from Jomo Kenyatta International Airport and 20 Minutes from Standard Gauge Railway Terminus. The Club has a Gym and Spa, a restaurant which has fine dining, Buffet and Family style, a sports bar, Swimming pool and Squash. Make Royal Nairobi Golf Club a great place to play a round of golf and enjoy other amenities when visiting Nairobi.","Nairobi",,"#628 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/4c/bf/2f/getlstd-property-photo.jpg","100","Open Now","3.028369188308716","$","1","false","false","17751930"
"Pizza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Thika Road Mall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","616","Pizza Planet",,"Thika Road Mall, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d10338866-Reviews-Pizza_Planet-Nairobi.html","-1.21969","36.88878",,,"0","0","1","0","1","+254 717 406356","RESTAURANT",,"4",,"",,"Nairobi",,"#616 of 1,048 places to eat in Nairobi",,"0",,"3.0311310291290283",,"2","false","false","10338866"
"Chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya","",,"Rehema House, Kaunda St, city centre","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","562","Tanager Bar & Restaurant",,"Rehema House, Kaunda St, city centre, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1214166-Reviews-Tanager_Bar_Restaurant-Nairobi.html","-1.28534","36.82242","20484493","Nairobi Central Business District","2","0","2","0","3"," 221615 ","RESTAURANT",,"3.5",,"",,"Nairobi",,"#562 of 1,048 places to eat in Nairobi",,"0",,"3.043339729309082","$$ - $$$","7","false","false","1214166"
,,,,,,,,,,,,,,,,"Africa/Nairobi","1230","480",,,,,"1230","480",,,,,"1230","480",,,,,"1230","480",,,,,"1230","480",,,,,"1230","480",,,,,"1230","480",,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner",,,,"Breakfast","Lunch","Dinner",,,,"Nairobi","Kenya","00100",,"Riverside Lane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","621","Chengdu Impression",,"Riverside Lane, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12592407-Reviews-Chengdu_Impression-Nairobi.html","-1.27058","36.79097",,,"1","0","0","4","1","+254 706 683260","RESTAURANT",,"3.5",,"",,"Nairobi",,"#621 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0f/b8/d3/29/caption.jpg","26","Closed Now","3.0300590991973877","$$ - $$$","6","false","false","12592407"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Banda Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","613","Noma Caffe",,"Banda Street, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12181017-Reviews-Noma_Caffe-Nairobi.html","-1.28352","36.82185","20484493","Nairobi Central Business District","0","0","1","3","0","+254 722 559559","RESTAURANT",,"4",,"",,"Nairobi",,"#613 of 1,048 places to eat in Nairobi",,"0",,"3.0326197147369385",,"4","false","false","12181017"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya","00400",,"Onn the Way Supermarket, Limuru Road","Onn the Way Supermarket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","629","Skewers Grill Limited","KES 85,977 - KES 741,180","Onn the Way Supermarket, Limuru Road Onn the Way Supermarket, Nairobi 00400 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d9820749-Reviews-Skewers_Grill_Limited-Nairobi.html","-1.259395","36.827057",,,"0","0","0","1","1","+254 792 239944","RESTAURANT","skewersgrillkenya@gmail.com","4.5",,"","An experience for your pallet with the best Barbeque, continental and Indian cuisine in the area with an open sitting layout lit with dim lights to create a scenic, calm and robust environment.","Nairobi",,"#629 of 1,048 places to eat in Nairobi",,"0",,"3.028362512588501","$$ - $$$","2","false","false","9820749"
"Diner","Mexican","African","Cafe","Healthy",,,,,,,,,,,,"Africa/Nairobi","1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"1320","390",,,,,"http://www.javahouseafrica.com",,"1026022","Kiambu","City",,"2697614","Central Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch",,,"Breakfast","Lunch","Dinner","Brunch",,,"Kiambu","Kenya",,,"Kiambu Road",,"Takeout","Outdoor Seating","Seating","Parking Available","Highchairs Available","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Café","restaurant","7","5","Java House Ciata Mall","KES 22,235 - KES 222,354","Kiambu Road, Kiambu Kenya","https://www.tripadvisor.com/Restaurant_Review-g1026022-d14119759-Reviews-Java_House_Ciata_Mall-Kiambu_Central_Province.html","-1.20026","36.83502",,,"0","2","0","3","1","+254 701 154070","RESTAURANT","guest.relations@javahouseafrica.com","3.5","https://www.javahouseafrica.com/our-menu/","",,"Kiambu, Central Province",,"#5 of 10 places to eat in Kiambu","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/27/11/87/20191128-064554-largejpg.jpg","9","Open Now","3.034761667251587","$","6","false","false","14119759"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya","00200",,"Nhif Building, Ragati Rd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","623","The Foyer Restaurant",,"Nhif Building, Ragati Rd, Nairobi 00200 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d6368807-Reviews-The_Foyer_Restaurant-Nairobi.html","-1.29683","36.81313",,,"0","0","1","1","1","+254 20 2737051","RESTAURANT",,"4",,"",,"Nairobi",,"#623 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/05/6f/4a/d7/the-foyer-restaurant.jpg","7",,"3.0289127826690674",,"3","false","false","6368807"
"Vegan Options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.facebook.com/pages/Munch-N-Madurai/1510842945815833",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Ngara Road",,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","617","Munch N' Madurai",,"Ngara Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7716757-Reviews-Munch_N_Madurai-Nairobi.html","-1.27415","36.81938",,,"0","2","2","0","6","+254 735 750314","RESTAURANT",,"4",,"",,"Nairobi",,"#617 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0a/dd/88/69/munch-n-madurai.jpg","2",,"3.0310585498809814","$$ - $$$","10","false","false","7716757"
"African","Pizza","Barbecue","Healthy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.thegigirilounge.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"UN Close Road","Off UN Crescent, Gigiri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","618","The Gigiri Lounge","KES 148,236 - KES 222,354","UN Close Road Off UN Crescent, Gigiri, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d21186029-Reviews-The_Gigiri_Lounge-Nairobi.html","-1.231134","36.80578",,,"0","0","1","0","1","+254 707 777555","RESTAURANT","info@thegigirilounge.co.ke","4",,"","Fun. Taste. Heritage that's what we are all about.... Come beat the cold weather with our wood oven baked pizzas and a refreshing cocktail complimented by our lush spacious green garden ""The backyard""
Thank us later!
#weareopen
#ilfornopizza
#thegigirilounge
          ","Nairobi",,"#618 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/1b/ae/ca/aa/getlstd-property-photo.jpg","29",,"3.030778169631958","$","2","false","false","21186029"
